이카운트_품목코드,이카운트_품목명,카페24_매칭명,카페24_상품코드,카페24_품목코드,유사도
(1)600이보드23페,◈이보드 23T 900*2400 (페인트용),단열재이보드(도배용 & 페인트용) 23T x 900 x 2400 (도배용),P0000BHC,P0000BHC000B,90.48
(1)600이보드33페,◈이보드 33T 900*2400 (페인트용),단열재이보드(도배용 & 페인트용) 33T x 900 x 2400 (도배용),P0000BHC,P0000BHC000C,90.48
(1)700168401걸레,◈영림168PS120 401걸레받이 (40*9),MDF1220 x 2440mm 9T 일반 MDF,P0000BEB,P0000BEB000F,43.14
(1)700AL앵글도장,◈AL 앵글 (백색도장) 1.0T 19*19*3000,마또아19x90x2400데크재 마또아 19 x 90 x 3000,P0000CAO,P0000CAO000E,52.94
(1)700A합7351935,◈합판문 36*735*1935,"합판문/문틀735,835,935 [합판문] 36 x 735 x 1935",P0000BJX,P0000BJX000A,100.0
(1)700B합7352035,◈합판문 36*735*2035,"합판문/문틀735,835,935 [합판문] 36 x 735 x 2035",P0000BJX,P0000BJX000B,100.0
(1)700C합8352035,◈합판문 36*835*2035,"합판문/문틀735,835,935 [합판문] 36 x 735 x 2035",P0000BJX,P0000BJX000B,100.0
(1)700D합9352035,◈합판문 36*935*2035,"합판문/문틀735,835,935 [합판문] 36 x 735 x 2035",P0000BJX,P0000BJX000B,100.0
(1)700E합8002000무,◈합판문틀 110*800*2000/식기무X,"합판문/문틀735,835,935 [문틀식기유] 110 x 800 x 2000",P0000BJX,P0000BJX000E,73.68
(1)700F합8002000유,◈합판문틀 110*800*2000/식기유O,"합판문/문틀735,835,935 [문틀식기유] 110 x 800 x 2000",P0000BJX,P0000BJX000E,73.68
(1)700G합8002100무,◈합판문틀 110*800*2100/식기무X,"합판문/문틀735,835,935 [문틀식기유] 110 x 800 x 2100",P0000BJX,P0000BJX000G,73.68
(1)700H합9002100무,◈합판문틀 110*900*2100/식기무X,"합판문/문틀735,835,935 [문틀식기유] 110 x 900 x 2100",P0000BJX,P0000BJX000H,73.68
(1)700I합9002100유,◈합판문틀 110*900*2100/식기유O,"합판문/문틀735,835,935 [문틀식기유] 110 x 900 x 2100",P0000BJX,P0000BJX000H,73.68
(1)700J합1102100다,◈합판문틀 라왕 40*110*2100 다대,"라왕각재라왕다루끼,한치각,심재,후지 라왕 30 x 40 x 2100 심재",P0000BGF,P0000BGF000B,66.67
(1)700K합100800요,◈합판문틀 라왕 40*110*800 요꼬,"합판문/문틀735,835,935 [문틀식기유] 110 x 800 x 2000",P0000BJX,P0000BJX000E,56.25
(1)700L합110900요,◈합판문틀 라왕 40*110*900 요꼬,멀바우계단재 소봉 40 x 40 x 900,P0000BFR,P0000BFR000C,61.54
(1)700P마이너메지95,◈PVC 마이너스 메지 9.5T(SS-1601) 10자,KCC방화 석고보드 12.5T x 900 x 1800,P0000BFE,P0000BFE000A,47.27
(1)700메지도장95,◈메지몰딩 백색도장/T형 9.5T 1P용 * 10자,CRC보드하지용 미색 3.5T x 900 x 1800,P0000BSU,P0000BSU000A,51.85
(1)700영1162계단,◈영림116 2계단 소 (50*12) [중백색],"OST단위타카핀(18,25,32,38,45,50,64) 18",P0000BWM,P0000BWM000A,46.15
(1)700영116301걸레,◈영림116 301걸레받이 (30*9),YDH-030S 실버도어 핸들영림 YDH-030 - 다크그레이,P0000CEV,P0000CEV000B,45.83
(1)700영116601걸레,◈영림116 601걸레받이 (60*9) [중백색],멀바우계단재 손스침 60 x 70 x 3600,P0000BFR,P0000BFR000F,42.55
(1)700영11680020001,◈영림116 분리형 110*800*2000/식기유,"합판문/문틀735,835,935 [문틀식기유] 110 x 800 x 2000",P0000BJX,P0000BJX000E,66.67
(1)700영11680020002,◈영림116 분리형 110*800*2000/식기무,"합판문/문틀735,835,935 [문틀식기유] 110 x 800 x 2000",P0000BJX,P0000BJX000E,66.67
(1)700영11690021001,◈영림116 분리형 110*900*2100/식기유,"합판문/문틀735,835,935 [문틀식기유] 110 x 900 x 2100",P0000BJX,P0000BJX000H,66.67
(1)700영11690021002,◈영림116 분리형 110*900*2100/식기무,"합판문/문틀735,835,935 [문틀식기유] 110 x 900 x 2100",P0000BJX,P0000BJX000H,66.67
(1)700영116901걸레,◈영림116 901걸레받이 (90*9) [중백색],멀바우19x90데크재 멀바우 19 x 90 x 3900,P0000BHU,P0000BHU000H,42.31
(1)700영116P마이너,◈영림116 ★PVC★마이너스 (25*12) [중백색],PVC 점검구 PVC 점검구 300 x 300,P0000CBX,P0000CBX000A,55.56
(1)700영116마이너,◈영림116 마이너스몰딩 (25*15) [중백색],접시머리 양날피스(황색) 접시머리 양날피스 8 x 25 (500pcs),P0000BJA,P0000BJA000B,44.0
(1)700영116문선,◈영림116 문선 (58*15) [중백색],영림더도어 TA-18 견적문의,P0000CAA,P0000CAA000A,44.44
(1)700영116시트,◈영림116 인테리어필름(M),인테리어 필름 접착제(수용성 프라이머) 수용성 프라이머 1kg,P0000BGM,P0000BGM000A,42.11
(1)700영116엣지,◈영림116 엣지필름(25M),"톱날 ( 대건금속, 타지마 ) 톱날 265 mm / 대건금속",P0000BIZ,P0000BIZ000A,37.5
(1)700영116천정1,◈영림116 천정1번 (80*12) [중백색],태고합판1220 x 2440mm 태고 12T x 910 x 1820mm,P0000BEG,P0000BEG000A,42.11
(1)700영116천정2,◈영림116 천정2번 (70*12) [중백색],CRC보드하지용 미색 6T x 1220 x 2440,P0000BSU,P0000BSU000G,41.67
(1)700영116천정3,◈영림116 천정3번 (55*12) [중백색],투습방수지 타이벡 50m 듀폰 타이벡 1.5 x 50m,P0000CAU,P0000CAU000A,40.91
(1)700영116코너중,◈영림116 코너기둥65 (65*12) 중,미송합판(양면무절)1220 x 2440mm 미송합판 6.5T,P0000BKX,P0000BKX000B,40.0
(1)700영116평100,◈영림116 평100 (100*9) [중백색],카플19x90x2400데크재 카플 19 x 90 x 1800,P0000BYC,P0000BYC000A,49.06
(1)700영116평120,◈영림116 평120 (120*9) [중백색],태고합판1220 x 2440mm 태고 12T x 1220 x 2440mm,P0000BEG,P0000BEG000B,47.06
(1)700영116평160,◈영림116 평160 (160*9) [중백색],멀바우19x90데크재 멀바우 19 x 90 x 1800,P0000BHU,P0000BHU000A,44.0
(1)700영116평200,◈영림116 평200 (200*9) [중백색],이페19x90x2400데크재 19 x 90 x 2400,P0000BYB,P0000BYB000A,48.0
(1)700영116평250,◈영림116 평250 (250*9) [중백색],[버킷]MDF 고밀도1220 x 2440mm 9T 고밀도 MDF,P0000CSY,P0000CSY000B,42.31
(1)700영116평30,◈영림116 평30 (30*9) [중백색],오크(참나무)계단재 계단재 38 x 610 x 3600,P0000BFT,P0000BFT000B,40.91
(1)700영116평300,◈영림116 평300 (300*9) [중백색],PVC 점검구 PVC 점검구 300 x 300,P0000CBX,P0000CBX000A,55.56
(1)700영116평40,◈영림116 평40 (40*9) [중백색],오크(참나무)계단재 소봉 40 x 40 x 900,P0000BFT,P0000BFT000C,42.86
(1)700영116평60,◈영림116 평60 (60*9) [중백색],오크(참나무)계단재 계단재 38 x 610 x 3600,P0000BFT,P0000BFT000B,40.91
(1)700영116평80,◈영림116 평80 (80*9) [중백색],텐텐지 백색1800x길이 85M 1800x길이 85M 백색,P0000CHC,P0000CHC000C,41.67
(1)700영116평문선,◈영림116 평문선 (60*12) [중백색],CRC보드하지용 미색 6T x 1220 x 2440,P0000BSU,P0000BSU000G,42.55
(1)700영161시트,◈영림161 인테리어필름(M),인테리어 필름 접착제(수용성 프라이머) 수용성 프라이머 1kg,P0000BGM,P0000BGM000A,42.11
(1)700영168301걸레,◈영림168PS120 301걸레받이 (30*9),레드파인계단재 계단판 30 x 610 x 3600,P0000BFO,P0000BFO000A,44.0
(1)700영16890021002,◈영림168PS120 분리형 110*900*2100/식기무,"합판문/문틀735,835,935 [문틀식기유] 110 x 900 x 2100",P0000BJX,P0000BJX000H,59.57
(1)700영168마이너,◈영림168PS120 마이너스몰딩 (25*15),쏘노클린후로링 15 x 150 x 1820 (단판),P0000BJI,P0000BJI000B,44.9
(1)700영168엣지,◈영림168PS120 엣지필름(25M),쏘노클린후로링 15 x 150 x 1820 (단판),P0000BJI,P0000BJI000B,32.56
(1)700영168평30,◈영림168PS120 평30 (30*9),오크(참나무)계단재 계단재 38 x 610 x 3600,P0000BFT,P0000BFT000B,44.44
(1)700영168평40,◈영림168PS120 평40 (40*9),MDF1220 x 2440mm 9T 일반 MDF,P0000BEB,P0000BEB000F,46.81
(1)700영168평60,◈영림168PS120 평60 (60*9),오크(참나무)계단재 계단재 38 x 610 x 3600,P0000BFT,P0000BFT000B,44.44
(1)700영169301걸레,◈영림169PS130 301걸레받이 (30*9),레드파인계단재 계단판 30 x 610 x 3600,P0000BFO,P0000BFO000A,44.0
(1)700영169401걸레,◈영림169PS130 401걸레받이 (40*9),이페19x90x2400데크재 19 x 90 x 2400,P0000BYB,P0000BYB000A,41.51
(1)700영16990021002,◈영림169PS130 분리형 110*900*2100/식기무,"합판문/문틀735,835,935 [문틀식기유] 110 x 900 x 2100",P0000BJX,P0000BJX000H,59.57
(1)700영169마이너,◈영림169PS130 마이너스몰딩 (25*15),무방부목15x95x3600데크재 15 x 95mm,P0000BMM,P0000BMM000A,42.31
(1)700영169엣지,◈영림169PS130 엣지필름(25M),무방부목15x95x3600데크재 15 x 95mm,P0000BMM,P0000BMM000A,34.78
(1)700영169평30,◈영림169PS130 평30 (30*9),오크(참나무)계단재 계단재 38 x 610 x 3600,P0000BFT,P0000BFT000B,44.44
(1)700영169평40,◈영림169PS130 평40 (40*9),이페19x90x2400데크재 19 x 90 x 2400,P0000BYB,P0000BYB000A,48.98
(1)700영169평60,◈영림169PS130 평60 (60*9),오크(참나무)계단재 계단재 38 x 610 x 3600,P0000BFT,P0000BFT000B,44.44
(1)700영194301걸레,◈영림194PS160 301걸레받이 (30*9),카플19x90x2400데크재 카플 19 x 90 x 1800,P0000BYC,P0000BYC000A,42.86
(1)700영194401걸레,◈영림194PS160 401걸레받이 (40*9),이페19x90x2400데크재 19 x 90 x 2400,P0000BYB,P0000BYB000A,45.28
(1)700영194마이너스,◈영림194PS160 마이너스몰딩 (25*15),무방부목15x95x3600데크재 15 x 95mm,P0000BMM,P0000BMM000A,42.31
(1)700영194평30,◈영림194PS160 평30 (30*9),카플19x90x2400데크재 카플 19 x 90 x 3000,P0000BYC,P0000BYC000E,46.15
(1)700영194평40,◈영림194PS160 평40 (40*9),이페19x90x2400데크재 19 x 90 x 2400,P0000BYB,P0000BYB000A,48.98
(1)700영194평60,◈영림194PS160 평60 (60*9),카플19x90x2400데크재 카플 19 x 90 x 3600,P0000BYC,P0000BYC000G,46.15
(1)700영195301걸레,◈영림195PS170 301걸레받이 (30*9),월넛 집성판사이드핑거 30T x 915 x 2300,P0000BJQ,P0000BJQ000D,43.14
(1)700영195401걸레,◈영림195PS170 401걸레받이 (40*9),이페19x90x2400데크재 19 x 90 x 2400,P0000BYB,P0000BYB000A,41.51
(1)700영195엣지,◈영림195PS170 엣지필름 (25M),무방부목15x95x3600데크재 15 x 95mm,P0000BMM,P0000BMM000A,34.78
(1)700영2580020001,◈영림25 분리형 110*800*2000/식기유,"합판문/문틀735,835,935 [문틀식기유] 110 x 800 x 2000",P0000BJX,P0000BJX000E,68.29
(1)700영2580020002,◈영림25 분리형 110*800*2000/식기무,"합판문/문틀735,835,935 [문틀식기유] 110 x 800 x 2000",P0000BJX,P0000BJX000E,68.29
(1)700영2590021001,◈영림25 분리형 110*900*2100/식기유,"합판문/문틀735,835,935 [문틀식기유] 110 x 900 x 2100",P0000BJX,P0000BJX000H,68.29
(1)700영2590021002,◈영림25 분리형 110*900*2100/식기무,"합판문/문틀735,835,935 [문틀식기유] 110 x 900 x 2100",P0000BJX,P0000BJX000H,68.29
(1)700영25코너대,◈영림25 코너기둥100 (100*12) 대,KCC방화 석고보드 12.5T x 900 x 1800,P0000BFE,P0000BFE000A,52.0
(1)700영25코너소,◈영림25 코너기둥40 (40*9) 소,오크(참나무)계단재 소봉 40 x 40 x 900,P0000BFT,P0000BFT000C,47.62
(1)700영2780020001,◈영림27 분리형 110*800*2000/식기유,"합판문/문틀735,835,935 [문틀식기유] 110 x 800 x 2000",P0000BJX,P0000BJX000E,68.29
(1)700영2780020002,◈영림27 분리형 110*800*2000/식기무,"합판문/문틀735,835,935 [문틀식기유] 110 x 800 x 2000",P0000BJX,P0000BJX000E,68.29
(1)700영2790021001,◈영림27 분리형 110*900*2100/식기유,"합판문/문틀735,835,935 [문틀식기유] 110 x 900 x 2100",P0000BJX,P0000BJX000H,68.29
(1)700영3480020002,◈영림34 분리형 110*800*2000/식기무,"합판문/문틀735,835,935 [문틀식기유] 110 x 800 x 2000",P0000BJX,P0000BJX000E,68.29
(1)700영402계단,◈영림40 2계단 소 (50*12) [인디언오크],오크 집성판사이드핑거 15T x 1220 x 2440,P0000BEV,P0000BEV000G,50.98
(1)700영403계단,◈영림40 3계단 (48*15) [인디언오크],오크 집성판사이드핑거 15T x 1220 x 2440,P0000BEV,P0000BEV000G,44.9
(1)700영4080020001,◈영림40 분리형 110*800*2000/식기유,"합판문/문틀735,835,935 [문틀식기유] 110 x 800 x 2000",P0000BJX,P0000BJX000E,68.29
(1)700영4080020002,◈영림40 분리형 110*800*2000/식기무,"합판문/문틀735,835,935 [문틀식기유] 110 x 800 x 2000",P0000BJX,P0000BJX000E,68.29
(1)700영4090021001,◈영림40 분리형 110*900*2100/식기유,"합판문/문틀735,835,935 [문틀식기유] 110 x 900 x 2100",P0000BJX,P0000BJX000H,68.29
(1)700영4090021002,◈영림40 분리형 110*900*2100/식기무,"합판문/문틀735,835,935 [문틀식기유] 110 x 900 x 2100",P0000BJX,P0000BJX000H,68.29
(1)700영40901걸레,◈영림40 901걸레받이 (90*9) [인디언오크],방킬라이19x90x2400데크재 방킬라이 19 x 90 x 3900,P0000BHT,P0000BHT000H,46.67
(1)700영40마이너,◈영림40 마이너스몰딩 (25*15) [인디언오크],"F단위타카핀(15,20,25,30,40,50) F 15",P0000BIR,P0000BIR000A,43.14
(1)700영40문선,◈영림40 문선 (58*15) [인디언오크],오크 집성판사이드핑거 15T x 1220 x 2440,P0000BEV,P0000BEV000G,45.83
(1)700영40엣지,◈영림40 엣지필름(25M),15T 직각 소형 템바루바(6EA/BOX)2400x106x15T클릭형 영림40 109 116 161 167  168 73 74,P0000CBP,P0000CBP000A,47.06
(1)700영40천정1,◈영림40 천정1번 (80*12) [인디언오크],오크 집성판사이드핑거 18T x 1220 x 2440,P0000BEV,P0000BEV000H,52.0
(1)700영40천정2,◈영림40 천정2번 (70*12) [인디언오크],레드오크 집성판솔리드 20T x 1000 x 2400,P0000BYL,P0000BYL000C,48.0
(1)700영40천정3,◈영림40 천정3번 (55*12) [인디언오크],오크 집성판사이드핑거 15T x 1220 x 2440,P0000BEV,P0000BEV000G,52.0
(1)700영40코너30,◈영림40 코너기둥30 (30*9) 미니,티크40x70x3600핸드레일 40 x 70 x 3600,P0000BXI,P0000BXI000A,44.0
(1)700영40코너대,◈영림40 코너기둥100 (100*12) 대,태고합판1220 x 2440mm 태고 12T x 1220 x 2440mm,P0000BEG,P0000BEG000B,50.0
(1)700영40코너소,◈영림40 코너기둥40 (40*9) 소,오크(참나무)계단재 소봉 40 x 40 x 900,P0000BFT,P0000BFT000C,47.62
(1)700영40코너중,◈영림40 코너기둥65 (65*12) 중,미송합판(유절)1220 x 2440mm 미송합판 15T,P0000BED,P0000BED000E,47.83
(1)700영40평100,◈영림40 평100 (100*9) [인디언오크],오크(참나무)계단재 대봉 90 x 90 x 1200,P0000BFT,P0000BFT000D,52.17
(1)700영40평120,◈영림40 평120 (120*9) [인디언오크],태고합판1220 x 2440mm 태고 12T x 1220 x 2440mm,P0000BEG,P0000BEG000B,53.85
(1)700영40평160,◈영림40 평160 (160*9) [인디언오크],레드오크 집성판솔리드 20T x 1000 x 2400,P0000BYL,P0000BYL000C,48.0
(1)700영40평200,◈영림40 평200 (200*9) [인디언오크],오크(참나무)계단재 대봉 90 x 90 x 1200,P0000BFT,P0000BFT000D,52.17
(1)700영40평250,◈영림40 평250 (250*9) [인디언오크],오크 집성판사이드핑거 15T x 1220 x 2440,P0000BEV,P0000BEV000G,48.0
(1)700영40평30,◈영림40 평30 (30*9) [인디언오크],오크(참나무)계단재 계단재 38 x 610 x 3600,P0000BFT,P0000BFT000B,48.89
(1)700영40평300,◈영림40 평300 (300*9) [인디언오크],PVC 점검구 PVC 점검구 300 x 300,P0000CBX,P0000CBX000A,55.56
(1)700영40평40,◈영림40 평40 (40*9) [인디언오크],오크(참나무)계단재 소봉 40 x 40 x 900,P0000BFT,P0000BFT000C,51.16
(1)700영40평60,◈영림40 평60 (60*9) [인디언오크],오크(참나무)계단재 계단재 38 x 610 x 3600,P0000BFT,P0000BFT000B,48.89
(1)700영40평80,◈영림40 평80 (80*9) [인디언오크],오크(참나무)계단재 소봉 40 x 40 x 900,P0000BFT,P0000BFT000C,46.51
(1)700영40필름M,◈영림40 인테리어필름(M),15T 직각 소형 템바루바(6EA/BOX)2400x106x15T클릭형 영림40 109 116 161 167  168 73 74,P0000CBP,P0000CBP000A,47.06
(1)700영5080020001,◈영림50 분리형 110*800*2000/식기유,"합판문/문틀735,835,935 [문틀식기유] 110 x 800 x 2000",P0000BJX,P0000BJX000E,68.29
(1)700영5080020002,◈영림50 분리형 110*800*2000/식기무,"합판문/문틀735,835,935 [문틀식기유] 110 x 800 x 2000",P0000BJX,P0000BJX000E,68.29
(1)700영5090021001,◈영림50 분리형 110*900*2100/식기유,"합판문/문틀735,835,935 [문틀식기유] 110 x 900 x 2100",P0000BJX,P0000BJX000H,68.29
(1)700영5090021002,◈영림50 분리형 110*900*2100/식기무,"합판문/문틀735,835,935 [문틀식기유] 110 x 900 x 2100",P0000BJX,P0000BJX000H,68.29
(1)700영50엣지,◈영림50 엣지필름(25M),"톱날 ( 대건금속, 타지마 ) 톱날 265 mm / 대건금속",P0000BIZ,P0000BIZ000A,38.71
(1)700영5380020001,◈영림53-1 분리형 110*800*2000/식기유,"합판문/문틀735,835,935 [문틀식기유] 110 x 800 x 2000",P0000BJX,P0000BJX000E,65.12
(1)700영5380020002,◈영림53-1 분리형 110*800*2000/식기무,"합판문/문틀735,835,935 [문틀식기유] 110 x 800 x 2000",P0000BJX,P0000BJX000E,65.12
(1)700영5390021001,◈영림53-1 분리형 110*900*2100/식기유,"합판문/문틀735,835,935 [문틀식기유] 110 x 900 x 2100",P0000BJX,P0000BJX000H,65.12
(1)700영5390021002,◈영림53-1 분리형 110*900*2100/식기무,"합판문/문틀735,835,935 [문틀식기유] 110 x 900 x 2100",P0000BJX,P0000BJX000H,65.12
(1)700영53시트,◈영림53-1 인테리어필름(M),인테리어 필름 접착제(수용성 프라이머) 수용성 프라이머 1kg,P0000BGM,P0000BGM000A,46.15
(1)700영53엣지,◈영림53-1 엣지필름(25M),재단비 결제 6~11.5mm,P0000BNF,P0000BNF000B,40.0
(1)700영PS170평40,◈영림195PS170 평40 (40*9),이페19x90x2400데크재 19 x 90 x 2400,P0000BYB,P0000BYB000A,48.98
(1)700영P백2계단대,◈영림 PVC 백색2계단 (50*15) (大),PVC 점검구 PVC 점검구 300 x 300,P0000CBX,P0000CBX000A,55.56
(1)700영P백2계단소,◈영림 PVC 백색2계단 (35*15) (小),PVC 점검구 PVC 점검구 300 x 300,P0000CBX,P0000CBX000A,55.56
(1)700영더1167331935,◈영림116 더도어 ABS TA-04 733*1935,영림더도어 TA-04 견적문의,P0000BZM,P0000BZM000A,47.62
(1)700영더1167331960,◈영림116 더도어 ABS TA-04 733*1960,영림더도어 TA-04 견적문의,P0000BZM,P0000BZM000A,47.62
(1)700영더1167332060,◈영림116 더도어 ABS TA-04 733*2060,영림더도어 TA-04 견적문의,P0000BZM,P0000BZM000A,47.62
(1)700영더1168332035,◈영림116 더도어 ABS TA-04 833*2035,영림더도어 TA-04 견적문의,P0000BZM,P0000BZM000A,47.62
(1)700영더1168332060,◈영림116 더도어 ABS TA-04 833*2060,영림더도어 TA-04 견적문의,P0000BZM,P0000BZM000A,47.62
(1)700영더1688332060,◈영림168PS120 더도어 ABS TA-04 833*2060,영림더도어 TA-04 견적문의,P0000BZM,P0000BZM000A,47.62
(1)700영더1698332060,◈영림169PS130 더도어 ABS TA-04 833*2060,영림더도어 TA-04 견적문의,P0000BZM,P0000BZM000A,47.62
(1)700영더257331935,◈영림25 더도어 ABS TA-04 733*1935,YDH-030S 실버도어 핸들영림 YDH-030 - 실버,P0000CEV,P0000CEV000A,48.15
(1)700영더258332035,◈영림25 더도어 ABS TA-04 833*2035,YDH-030S 실버도어 핸들영림 YDH-030 - 실버,P0000CEV,P0000CEV000A,48.15
(1)700영더277331935,◈영림27 더도어 ABS TA-04 733*1935,YDH-030S 실버도어 핸들영림 YDH-030 - 실버,P0000CEV,P0000CEV000A,48.15
(1)700영더278332060,◈영림27 더도어 ABS TA-04 833*2060,YDH-030S 실버도어 핸들영림 YDH-030 - 실버,P0000CEV,P0000CEV000A,48.15
(1)700영더347331935,◈영림34 더도어 ABS TA-04 733*1935,YDH-030S 실버도어 핸들영림 YDH-030 - 실버,P0000CEV,P0000CEV000A,48.15
(1)700영더348332035,◈영림34 더도어 ABS TA-04 833*2035,YDH-030S 실버도어 핸들영림 YDH-030 - 실버,P0000CEV,P0000CEV000A,48.15
(1)700영더407331935,◈영림40 더도어 ABS TA-04 733*1935,YDH-030S 실버도어 핸들영림 YDH-030 - 실버,P0000CEV,P0000CEV000A,48.15
(1)700영더408332035,◈영림40 더도어 ABS TA-04 833*2035,YDH-030S 실버도어 핸들영림 YDH-030 - 실버,P0000CEV,P0000CEV000A,48.15
(1)700영더408332060,◈영림40 더도어 ABS TA-04 833*2060,YDH-030S 실버도어 핸들영림 YDH-030 - 실버,P0000CEV,P0000CEV000A,48.15
(1)700영더537331935,◈영림53 더도어 ABS TA-04 733*1935,YDH-030S 실버도어 핸들영림 YDH-030 - 실버,P0000CEV,P0000CEV000A,48.15
(1)700영더537331960,◈영림53 더도어 ABS TA-04 733*1960,YDH-030S 실버도어 핸들영림 YDH-030 - 실버,P0000CEV,P0000CEV000A,48.15
(1)700영더538332035,◈영림53 더도어 ABS TA-04 833*2035,YDH-030S 실버도어 핸들영림 YDH-030 - 실버,P0000CEV,P0000CEV000A,48.15
(1)700영더538332060,◈영림53-1 더도어 ABS TA-04 833*2060,영림더도어 TA-04 견적문의,P0000BZM,P0000BZM000A,47.62
(1)700영렉스31208,◈영림 렉스판 8자312 (유광백색) 2400,렉스판리빙보드 렉스판 유광백색 (300x9x2400) 8자,P0000CAS,P0000CAS000A,65.38
(1)700영렉스31210,◈영림 렉스판 10자312 (유광백색) 3000,렉스판리빙보드 렉스판 유광백색 (300x9x3000) 10자,P0000CAS,P0000CAS000B,66.67
(1)700영렉스31212,◈영림 렉스판 12자312 (유광백색) 3600,렉스판리빙보드 렉스판 유광백색 (300x9x3600) 12자,P0000CAS,P0000CAS000C,66.67
(1)700영림P마이너,◈영림 PVC 마이너스25 (25*12),PVC 점검구 PVC 점검구 300 x 300,P0000CBX,P0000CBX000A,55.56
(1)700예HP52130걸레,◈예림HP521 30걸레받이 (30*9),월넛 집성판사이드핑거 30T x 915 x 2300,P0000BJQ,P0000BJQ000D,42.55
(1)700예HP52140걸레,◈예림HP521 40걸레받이 (40*9),PVC 점검구 PVC 점검구 400 x 400,P0000CBX,P0000CBX000B,41.18
(1)700예HP52230걸레,◈예림HP522 30걸레받이 (30*9),월넛 집성판사이드핑거 30T x 915 x 2300,P0000BJQ,P0000BJQ000D,42.55
(1)700예HP52240걸레,◈예림HP522 40걸레받이 (40*9),MDF1220 x 2440mm 9T 일반 MDF,P0000BEB,P0000BEB000F,42.55
(1)80011실리1투명,◈실리콘 투명○,바이오 실리콘 바이오 실리콘 [투명],P0000BHF,P0000BHF000A,100.0
(1)80011이지경실,◈이지경첩 실버 VN ★ [1조],"AFH-4350 이지경첩실버,골드,화이트,블랙 이지경첩 - 실버",P0000BJC,P0000BJC000A,70.0
(1)80011일반경실,◈일반경첩 실버 VN [1조],"일반경첩실버,골드,블랙 일반경첩 - 실버",P0000BZG,P0000BZG000A,70.0
(1)80011타카422J,◈422J (목공용 ㄷ자 타카핀),"J단위타카핀(416,149,422,1022) 핀 422J",P0000BIP,P0000BIP000C,45.45
(1)80012실리반투명,◈실리콘 반투명◑,바이오 실리콘 바이오 실리콘 [반투명],P0000BHF,P0000BHF000B,100.0
(1)80012이지경골,◈이지경첩 골드 SB [1조],"AFH-4350 이지경첩실버,골드,화이트,블랙 이지경첩 - 실버",P0000BJC,P0000BJC000A,70.0
(1)80012일반경골,◈일반경첩 골드 [1조],"일반경첩실버,골드,블랙 일반경첩 - 실버",P0000BZG,P0000BZG000A,82.35
(1)80013실리백색,◈실리콘 백색,수용성 실리콘(아크씰) 수성 실리콘 아크씰 [백색],P0000BHG,P0000BHG000A,100.0
(1)80013이지경블,◈이지경첩 블랙 BK [1조],"AFH-4350 이지경첩실버,골드,화이트,블랙 이지경첩 - 실버",P0000BJC,P0000BJC000A,70.0
(1)80013일반경블,◈일반경첩 블랙 [1조],"일반경첩실버,골드,블랙 일반경첩 - 실버",P0000BZG,P0000BZG000A,82.35
(1)80013총422,◈제일타카 422 ☞(타카총)☞,제일타카 1850A타카총/에어타카 422 타카총,P0000BIS,P0000BIS000C,100.0
(1)80014영림이지실버,◈[영림] 이지경첩 실버 ★ [1조],"AFH-4350 이지경첩실버,골드,화이트,블랙 이지경첩 - 실버",P0000BJC,P0000BJC000A,70.0
(1)80014영림일반실버,◈[영림] 일반경첩 실버 [1조],"일반경첩실버,골드,블랙 일반경첩 - 실버",P0000BZG,P0000BZG000A,70.0
(1)80014이지경백,◈이지경첩 백색 WT [1조],"AFH-4350 이지경첩실버,골드,화이트,블랙 이지경첩 - 백색",P0000BJC,P0000BJC000C,70.0
(1)80014피스톤422,◈피스톤 - 422,제일타카 1850A타카총/에어타카 422 타카총,P0000BIS,P0000BIS000C,60.0
(1)800CAP44흑,◈CAP44 흑색(캡90각),라인 타공판9T x 1184 x 2400방염 타공판/라인/흑색,P0000BVG,P0000BVG000F,33.33
(1)800가위,◈다목적 가위,KCC차음 석고보드 번들단가,P0000BFG,P0000BFG000C,19.05
(1)800고체연료,◈고체연료 17L (12KG) [에탄올 100% / 연소 12시간],"J단위타카핀(416,149,422,1022) 핀 1010J",P0000BIP,P0000BIP000D,43.33
(1)800골판지,◈골판지(종이/보양재) 40M*1100,골판지 종이 보양지 (40m/1롤) 종이 롤보양재 3T x 1100 x 40M,P0000CTS,P0000CTS000B,89.47
(1)800뎀핑레일실,◈실버 뎀핑슬라이딩레일(벽체커버용),"행거레일댐퍼형(30kg,50kg,80kg) 슬라이딩 레일 실버 2m",P0000CBW,P0000CBW000A,33.96
(1)800레일2,◈반자동 슬라이딩레일 (2M),"행거레일댐퍼형(30kg,50kg,80kg) 슬라이딩 레일 실버 2m",P0000CBW,P0000CBW000A,40.82
(1)800레일3,◈반자동 슬라이딩레일 (3M !!!),"행거레일댐퍼형(30kg,50kg,80kg) 슬라이딩 레일 실버 3m",P0000CBW,P0000CBW000B,40.82
(1)800로라미4,◈미니로라 4인치,평붓 평 붓 4인치,P0000BIY,P0000BIY000C,54.55
(1)800마대80,◈[50장 묶음] 마대 80KG (中) [일반],"행거레일댐퍼형(30kg,50kg,80kg) 양댐퍼 N30",P0000CBW,P0000CBW000C,46.81
(1)800마대90,◈[50장 묶음] 마대 90KG (大)★[대형],멀바우계단재 대봉 90 x 90 x 1200,P0000BFR,P0000BFR000D,44.44
