PROD_CD,PROD_DES,SIZE_FLAG,SIZE_DES,UNIT,PROD_TYPE,SET_FLAG,BAL_FLAG,WH_CD,IN_PRICE,SIZE_CD,IN_PRICE_VAT,REMARKS_WIN,CLASS_CD,CLASS_CD2,CLASS_CD3,BAR_CODE,VAT_YN,TAX,VAT_RATE_BY_BASE_YN,VAT_RATE_BY,CS_FLAG,REMARKS,INSPECT_TYPE_CD,INSPECT_STATUS,SAMPLE_PERCENT,IN_TERM,MIN_QTY,CUST,EXCH_RATE,DENO_RATE,OUT_PRICE,OUT_PRICE1,OUT_PRICE2,OUT_PRICE3,OUT_PRICE4,OUT_PRICE5,OUT_PRICE6,OUT_PRICE7,OUT_PRICE8,OUT_PRICE9,OUT_PRICE10,OUT_PRICE_VAT,OUT_PRICE1_VAT_YN,OUT_PRICE2_VAT_YN,OUT_PRICE3_VAT_YN,OUT_PRICE4_VAT_YN,OUT_PRICE5_VAT_YN,OUT_PRICE6_VAT_YN,OUT_PRICE7_VAT_YN,OUT_PRICE8_VAT_YN,OUT_PRICE9_VAT_YN,OUT_PRICE10_VAT_YN,OUTSIDE_PRICE,OUTSIDE_PRICE_VAT,LABOR_WEIGHT,EXPENSES_WEIGHT,MATERIAL_COST,EXPENSE_COST,LABOR_COST,OUT_COST,CONT1,CONT2,CONT3,CONT4,CONT5,CONT6,NO_USER1,NO_USER2,NO_USER3,NO_USER4,NO_USER5,NO_USER6,NO_USER7,NO_USER8,NO_USER9,NO_USER10,SERIAL_TYPE,PROD_SELL_TYPE,PROD_WHMOVE_TYPE,QC_BUY_TYPE,QC_YN,SAFE_QTY,CSORD_C0001,CSORD_TEXT,CSORD_C0003
(1)100구조재A14,◈구조재 1*4 12자 (19*89) 원포,0,,EA,3,0,1,,0.0000000000,,0,구조14 rnwh14 ㄱㅈ14,11111,,00000,,N,10,N,0,0,"6120 포함
13 / 26 / 33 / 37",0,L,0.00,0,0.0000000000,,1.0000000000,1,0.0000000000,6300.0000000000,7100.0000000000,7400.0000000000,7700.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,N,N,N,N,N,N,N,N,N,N,0.0000000000,0,1.0000000000,1.00,0.0000000000,0.0000000000,0.0000000000,0.0000000000,반번들~1번들,,,,인상 25/10/23,실사 25/12/23,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,B,B,B,B,B,0.0000000000,Y,0,N
(1)100구조재A16,◈구조재 1*6 12자 (19*140) 원식스,0,,EA,3,0,1,,0.0000000000,,0,구조16 rnwh16 ㄱㅈ16,11111,,00000,,N,10,N,0,0,"11400 포함
14 / 30 / 40 / 46",0,L,0.00,0,0.0000000000,,1.0000000000,1,0.0000000000,11900.0000000000,13500.0000000000,14500.0000000000,15200.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,N,N,N,N,N,N,N,N,N,N,0.0000000000,0,1.0000000000,1.00,0.0000000000,0.0000000000,0.0000000000,0.0000000000,30장,,,,인하 25/11/4,실사 25/12/23,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,B,B,B,B,B,0.0000000000,Y,0,N
(1)100구조재A18,◈구조재 1*8 12자 (19*184) 원에잇,0,,EA,3,0,1,,0.0000000000,,0,구조18 rnwh18 ㄱㅈ18,11111,,00000,,N,10,N,0,0,"14500 포함
15 / 32 / 40 / 47",0,L,0.00,0,0.0000000000,,1.0000000000,1,0.0000000000,15200.0000000000,17400.0000000000,18500.0000000000,19400.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,N,N,N,N,N,N,N,N,N,N,0.0000000000,0,1.0000000000,1.00,0.0000000000,0.0000000000,0.0000000000,0.0000000000,25장,,,,인상 25/10/22,실사 25/12/23,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,B,B,B,B,B,0.0000000000,Y,0,N
