ecount_prod_cd,ecount_prod_des,cafe24_product_no,cafe24_product_code,cafe24_product_name,similarity_score,ecount_out_price2
(1)800오일35월넛,◈오일스텐 3.5L (월넛),1245,P0000BVX,오일스테인 [외부용],35.29,22000.0000000000
(1)800오일35자단,◈오일스텐 3.5L (자단),1245,P0000BVX,오일스테인 [외부용],35.29,22000.0000000000
(1)800오일35참나무,◈오일스텐 3.5L (참나무),825,P0000BFT,오크(참나무)<br>계단재,40.0,22000.0000000000
(1)800오일35체리,◈오일스텐 3.5L (체리),861,P0000BHD,실리콘 건,36.0,22000.0000000000
(1)800오일35코코넛,◈오일스텐 3.5L (코코넛),1245,P0000BVX,오일스테인 [외부용],33.33,22000.0000000000
(1)800오일35티크,◈오일스텐 3.5L (티크),1245,P0000BVX,오일스테인 [외부용],35.29,22000.0000000000
(1)800오일35화이트,◈오일스텐 3.5L (화이트),1499,P0000CFR,스완 화이트<br>800x95x7.5mm<br>강마루 베이직,48.0,22000.0000000000
(1)800오일35황색,◈오일스텐 3.5L (황색),1245,P0000BVX,오일스테인 [외부용],35.29,22000.0000000000
(1)800오일35흑단,◈오일스텐 3.5L (흑단),1245,P0000BVX,오일스테인 [외부용],35.29,22000.0000000000
(1)800오일35흑색,◈오일스텐 3.5L (흑색),1245,P0000BVX,오일스테인 [외부용],35.29,22000.0000000000
(1)800윙스25,◈윙스크류 25mm (양날/접시/500개),988,P0000BMA,윙스크류 양날피스,60.0,10500.0000000000
(1)800윙스252,◈윙스크류 25mm (양날/접시/★1000개!!),988,P0000BMA,윙스크류 양날피스,60.0,22700.0000000000
(1)800윙스32,◈윙스크류 32mm (양날/접시/500개),988,P0000BMA,윙스크류 양날피스,60.0,11400.0000000000
(1)800윙스38,◈윙스크류 38mm (양날/접시/500개),988,P0000BMA,윙스크류 양날피스,60.0,12700.0000000000
(1)800윙스45,◈윙스크류 45mm (양날/접시/500개),988,P0000BMA,윙스크류 양날피스,60.0,17100.0000000000
(1)800윙스55,◈윙스크류 55mm (양날/접시/300개),988,P0000BMA,윙스크류 양날피스,60.0,11400.0000000000
(1)800유리다보,◈유리다보 (판매용),967,P0000BLF,목다보,60.0,0.0000000000
(1)800자유경3,◈자유경첩 3인치 [1조],1855,P0000CTJ,영림 슬림히든경첩M (2EA/1조)<br>실버,40.0,19400.0000000000
(1)800자유경4,◈자유경첩 4인치 [1조],1855,P0000CTJ,영림 슬림히든경첩M (2EA/1조)<br>실버,40.0,20500.0000000000
(1)800장갑1코팅R,◈코팅장갑(RED) 1타(10개묶음),987,P0000BLZ,반코팅 장갑 (1타/10개),75.0,2900.0000000000
(1)800장갑기능대,◈기능성장갑 (대),987,P0000BLZ,반코팅 장갑 (1타/10개),32.73,1800.0000000000
(1)800장갑기능소,◈기능성장갑 (소),987,P0000BLZ,반코팅 장갑 (1타/10개),32.73,1800.0000000000
(1)800장갑기능중,◈기능성장갑 (중),987,P0000BLZ,반코팅 장갑 (1타/10개),32.73,1800.0000000000
(1)800점검300,◈점검구[자동] 300*300,1401,P0000CBX,PVC 점검구,60.0,9000.0000000000
(1)800점검400,◈점검구[자동] 400*400,1401,P0000CBX,PVC 점검구,60.0,9400.0000000000
(1)800점검450,◈점검구[자동] 450*450 ★,1401,P0000CBX,PVC 점검구,60.0,9500.0000000000
(1)800점검600,◈점검구[자동] 600*600,1401,P0000CBX,PVC 점검구,60.0,12700.0000000000
(1)800점검AL600,◈AL 점검구[백색도장] 600*600,1401,P0000CBX,PVC 점검구,49.09,13600.0000000000
(1)800점검PVC300,◈PVC 점검구 300*300 밀폐형,1401,P0000CBX,PVC 점검구,90.0,9000.0000000000
(1)800점검PVC400,◈PVC 점검구 400*400 밀폐형,1401,P0000CBX,PVC 점검구,90.0,9400.0000000000
(1)800점검PVC450,◈PVC 점검구 450*450 밀폐형,1401,P0000CBX,PVC 점검구,90.0,9500.0000000000
(1)800점검PVC600,◈PVC 점검구 600*600 밀폐형,1401,P0000CBX,PVC 점검구,90.0,12700.0000000000
(1)800접시13,◈접시머리 양날피스 13mm(1000개),910,P0000BJA,접시머리 양날피스(황색),80.0,6400.0000000000
(1)800접시25,◈접시머리 양날피스 25mm(500개),910,P0000BJA,접시머리 양날피스(황색),80.0,8200.0000000000
(1)800접시32,◈접시머리 양날피스 32mm(500개),910,P0000BJA,접시머리 양날피스(황색),80.0,9800.0000000000
(1)800접시38,◈접시머리 양날피스 38mm(500개),910,P0000BJA,접시머리 양날피스(황색),80.0,10900.0000000000
(1)800접착205,◈205 본드 (오공 / 목공용),980,P0000BLS,헨켈(파텍스) 빨리굳는목공용 접착제,33.75,2000.0000000000
(1)800접착777,◈강력 스프레이 접착제 777,849,P0000BGR,다용도 스프레이 접착제 707,72.0,6000.0000000000
(1)800접착G1원,◈[원평] G1 본드 (18L),1242,P0000BVU,보드 합지 접착제 G-1 본드 (18L),78.75,47300.0000000000
(1)800접착G2원,◈[원평] G2 본드 (10KG),1243,P0000BVV,단열 보드 접착제 G-2 본드 (10kg),80.0,20000.0000000000
(1)800접착G3원,◈[원평] G3플러스 (몰타론7000/15KG),1244,P0000BVW,몰탈 접착 증강제 G-3 본드 (15kg),36.36,58200.0000000000
(1)800접착아이소,◈아이소핑크 접착제 (스티로폼용),848,P0000BGQ,아이소핑크(단열재 접착제) 850g,57.14,3600.0000000000
(1)800접착에폭4,◈에폭시 (석재용 접착제) 4+4KG [소],850,P0000BGS,석재용 접착제 (에폭시),60.0,28200.0000000000
(1)800접착에폭A10,◈에폭시 (석재용 접착제) 10+10KG [대],850,P0000BGS,석재용 접착제 (에폭시),60.0,53200.0000000000
(1)800접착프라1,◈수성 프라이머(필름 접착제) (1KG) 소,1244,P0000BVW,몰탈 접착 증강제 G-3 본드 (15kg),40.0,9100.0000000000
(1)800접착프라3,◈수성 프라이머(필름 접착제) (3KG) 대,1244,P0000BVW,몰탈 접착 증강제 G-3 본드 (15kg),40.0,21800.0000000000
(1)800줄자55국,◈줄자 [국산] 5.5M,1851,P0000CTF,현대L&C 보닥 인테리어필름 PNC55(M),54.0,3600.0000000000
(1)800줄자55세,◈줄자[세신/국산] 5.5M,1851,P0000CTF,현대L&C 보닥 인테리어필름 PNC55(M),45.0,3600.0000000000
(1)800줄자55타,◈줄자 [타지마/고급 일본산] 5.5M,1842,P0000CSW,예림CL01(HS801) 마이너스몰딩 25 x 15 (mm),28.42,20700.0000000000
(1)800줄자75타,◈줄자 [타지마/고급 일본산] 7.5M,842,P0000BGK,목공용 본드 205,27.69,25000.0000000000
(1)800철기리30,◈철기리 [10 PCS/각]● 3.0MM,1703,P0000CNN,차음시트 단면점착<br>4T 1000 x 1000mm,47.37,14100.0000000000
(1)800철기리32,◈철기리 [10 PCS/각]● 3.2MM,1683,P0000CMT,마감용 구조재 인테리어등급<BR>2” X 10” (38mm X 235mm) / 투텐,41.54,14100.0000000000
(1)800철기리33,◈철기리 [10 PCS/각]● 3.3MM,1683,P0000CMT,마감용 구조재 인테리어등급<BR>2” X 10” (38mm X 235mm) / 투텐,41.54,14100.0000000000
(1)800총1850A,◈제일타카 1850A ☞(타카총)☞,902,P0000BIS,제일타카 1850A<br>타카총/에어타카,80.0,106500.0000000000
(1)800총630R,◈제일타카 630R ☞(타카총)☞,902,P0000BIS,제일타카 1850A<br>타카총/에어타카,62.07,118200.0000000000
(1)800총BN1664,◈제일타카 BN 16/64 ☞(타카총)☞,902,P0000BIS,제일타카 1850A<br>타카총/에어타카,51.61,118200.0000000000
(1)800총CT64,◈제일타카 CT64RS ☞(총)☞,902,P0000BIS,제일타카 1850A<br>타카총/에어타카,48.0,145500.0000000000
(1)800총F30,◈제일타카 F30 ☞(타카총)☞,902,P0000BIS,제일타카 1850A<br>타카총/에어타카,57.14,61800.0000000000
(1)800칼브럭625,◈칼브럭 (6*25) 60mm,913,P0000BJD,"6단위<br>실타카핀(615,618,625,630)",56.25,5000.0000000000
(1)800칼브럭640,◈칼브럭 (6*40) 70mm,1806,P0000CRM,멀바우 집성판<br>사이드핑거 30T x 910 x 2400mm,60.0,6600.0000000000
(1)800칼브럭812,◈칼브럭 (8*12) 50mm,1666,P0000CMC,방부목 각재<br> 5” X 5” 크로바(120mm X 120mm),60.0,6300.0000000000
(1)800칼브럭890,◈칼브럭 (8*90) 90mm,1593,P0000CJH,단열재 아이소핑크/압출법보온판 <br>100T x 900 x 1800mm,60.0,10500.0000000000
(1)800캇타칼,◈캇타칼 (일반),1642,P0000CLE,일반 합판(수입산) 4*8<br>11.5T x 1220 x 2440mm (다이아),51.43,1600.0000000000
(1)800캇타칼고급,◈캇타칼 (★고급 전문가용/일제),1269,P0000BWV,운반비 결제,30.0,8500.0000000000
(1)800캇타칼날,◈캇타칼날 (10 PCS),1401,P0000CBX,PVC 점검구,40.0,1800.0000000000
(1)800콩피스816,◈와셔붙이/양날(콩피스) (8*16) 1000PS,988,P0000BMA,윙스크류 양날피스,45.0,0.0000000000
(1)800타카1022J,◈1022J (목공용 ㄷ자 타카핀),899,P0000BIP,"J단위<BR>타카핀(416,149,422,1022)",45.0,6600.0000000000
(1)800타카1ST18,◈ST18 [콘크리트용],1173,P0000BTD,test,60.0,4600.0000000000
(1)800타카1ST25,◈ST25 [콘크리트용],1173,P0000BTD,test,60.0,5600.0000000000
(1)800타카1ST32,◈ST32 [콘크리트용],1173,P0000BTD,test,60.0,6500.0000000000
(1)800타카1ST38,◈ST38 [콘크리트용],1173,P0000BTD,test,60.0,4200.0000000000
(1)800타카1ST45,◈ST45 [콘크리트용],1173,P0000BTD,test,60.0,4500.0000000000
(1)800타카1ST50,◈ST50 [콘크리트용],1173,P0000BTD,test,60.0,5500.0000000000
(1)800타카1ST57,◈ST57 [콘크리트용],1173,P0000BTD,test,60.0,6600.0000000000
(1)800타카1ST64,◈ST64 [콘크리트용],1173,P0000BTD,test,60.0,6500.0000000000
(1)800타카416J,◈416J (목공용 ㄷ자 타카핀),899,P0000BIP,"J단위<BR>타카핀(416,149,422,1022)",37.89,4500.0000000000
(1)800타카419J,◈419J (목공용 ㄷ자 타카핀),899,P0000BIP,"J단위<BR>타카핀(416,149,422,1022)",37.89,4400.0000000000
(1)800타카DT50,◈DT50 [목재용],856,P0000BGY,목재보호용<br>오일스테인 외부용,45.0,12500.0000000000
(1)800타카DT64,◈DT64 [목재용],1180,P0000BTK,영림중문<br>아치형 데메테르<br>YD-1640,45.0,13200.0000000000
(1)800타카F15,◈핀F15,913,P0000BJD,"6단위<br>실타카핀(615,618,625,630)",67.5,3600.0000000000
(1)800타카F20,◈핀F20,1362,P0000CAK,우주<br>키즈도어 YK-020,60.0,4100.0000000000
(1)800타카F25,◈핀F25,1705,P0000CNP,LST / JST 타카핀 25,77.14,4500.0000000000
(1)800타카F30,◈핀F30,1195,P0000BTZ,영림중문<br>클래식(ABS) 쁘띠하임<br>YA-1430,60.0,3600.0000000000
(1)800타카F40,◈핀F40,1238,P0000BVQ,"인디언오크 몰딩<br>평판문선,천장,걸레받이<br>영림40",60.0,7500.0000000000
(1)800타카F50,◈핀F50,1709,P0000CNT,LST / JST 타카핀 50,77.14,8500.0000000000
(1)800타카FST15,◈FST15 [얇은 콘크리트용],1173,P0000BTD,test,51.43,8400.0000000000
(1)800타카FST18,◈FST18 [얇은 콘크리트용],1173,P0000BTD,test,51.43,8600.0000000000
(1)800타카FST25,◈FST25 [얇은 콘크리트용],1173,P0000BTD,test,51.43,9500.0000000000
(1)800타카FST30,◈FST30 [얇은 콘크리트용],1173,P0000BTD,test,51.43,0.0000000000
(1)800타카JST18,◈JST18[콘크리트용/테이프마감](=LST18),1704,P0000CNO,LST / JST 타카핀 18,56.25,6700.0000000000
(1)800타카JST25,◈JST25[콘크리트용/테이프마감](=LST25),1705,P0000CNP,LST / JST 타카핀 25,56.25,7300.0000000000
(1)800타카JST32,◈JST32[콘크리트용/테이프마감](=LST32),1706,P0000CNQ,LST / JST 타카핀 32,56.25,8800.0000000000
(1)800타카JST38,◈JST38[콘크리트용/테이프마감](=LST38),1707,P0000CNR,LST / JST 타카핀 38,56.25,5100.0000000000
(1)800타카JST45,◈JST45[콘크리트용/테이프마감](=LST45),1708,P0000CNS,LST / JST 타카핀 45,56.25,5700.0000000000
(1)800타카JST50,◈JST50[콘크리트용/테이프마감](=LST50),1709,P0000CNT,LST / JST 타카핀 50,56.25,6700.0000000000
(1)800타카JST64,◈JST64[콘크리트용/테이프마감](=LST64),1710,P0000CNU,LST / JST 타카핀 64,56.25,8500.0000000000
(1)800타카T50,◈T50 (=C50) (티),901,P0000BIR,"F단위<BR>타카핀(15,20,25,30,40,50)",54.0,11800.0000000000
(1)800타카T57,◈T57 (=C57) (티),1534,P0000CHA,예림 프레임 월 FW570<br>570x570x15T<br>웬지브라운,51.43,11500.0000000000
(1)800타카T64,◈T64 (=C64) (티),1240,P0000BVS,"C타카핀<BR>타카핀(C50,C57,C64)",54.0,13500.0000000000
(1)800테잎25은,◈은박테이프 (단열재 전용) 25M (소),890,P0000BIG,단열재 은박테이프<br>열반사단열재전용,62.5,1800.0000000000
(1)800테잎50은,◈은박테이프 (단열재 전용) 50M (대)★,890,P0000BIG,단열재 은박테이프<br>열반사단열재전용,62.5,2700.0000000000
(1)800테잎마스대,◈마스킹테이프 (대) 50mm*40M,1667,P0000CMD,방부목 각재<br>6” X 6” 크로바(140mm X 140mm),46.96,3000.0000000000
(1)800테잎마스소,◈마스킹테이프 (소) 25mm*40M,1670,P0000CMG,방부목 데크<br>25mm X 140mm (대),43.75,1600.0000000000
(1)800테잎박스,◈테이프(OPP 박스테이프),1865,P0000CTT,테스트,45.0,1700.0000000000
(1)800테잎청,◈테이프(청테이프),1865,P0000CTT,테스트,45.0,1100.0000000000
(1)800테잎커버2000,◈커버링테이프 (중) 2000mm*20M,1666,P0000CMC,방부목 각재<br> 5” X 5” 크로바(120mm X 120mm),48.46,4000.0000000000
(1)800테잎커버2700,◈커버링테이프 (대) 2700mm*20M,1666,P0000CMC,방부목 각재<br> 5” X 5” 크로바(120mm X 120mm),48.46,5900.0000000000
(1)800테잎커버900,◈커버링테이프 (소) 900mm*20M,1666,P0000CMC,방부목 각재<br> 5” X 5” 크로바(120mm X 120mm),45.0,2200.0000000000
(1)800테잎플로,◈우벤테이프 ★(플로베니아/골판지 용),838,P0000BGG,유니크 판재,36.0,3500.0000000000
(1)800텐텐지,◈텐텐지 (건축용 보양재) 1.8M*85M,1536,P0000CHC,텐텐지 백색<br>1800x길이 85M,50.0,27300.0000000000
(1)800톱날265대,◈톱날 265mm (국산/대건) [1봉(3개입)],1614,P0000CKC,소송 각재 KD<br>투바이 30 x 69 x 3600mm 1개(낱개),36.0,11400.0000000000
(1)800톱날300대,◈톱날 300mm (국산/대건) [1봉(3개입)],1614,P0000CKC,소송 각재 KD<br>투바이 30 x 69 x 3600mm 1개(낱개),48.46,12300.0000000000
(1)800톱날330대,◈톱날 330mm (국산/대건) [1봉(3개입)],1612,P0000CKA,소송 각재 KD<br>다루끼 30 x 30 x 3600mm 1개(낱개),43.45,12300.0000000000
(1)800톱날A265타,◈톱날 265mm (일제/타지마)[1봉(3개입)],909,P0000BIZ,"톱날 ( 대건금속, 타지마 )",38.46,19200.0000000000
(1)800톱날A300타,◈톱날 300mm (일제/타지마)[1봉(3개입)],1614,P0000CKC,소송 각재 KD<br>투바이 30 x 69 x 3600mm 1개(낱개),46.67,22000.0000000000
(1)800톱날A330타,◈톱날 330mm (일제/타지마)[1봉(3개입)],1612,P0000CKA,소송 각재 KD<br>다루끼 30 x 30 x 3600mm 1개(낱개),42.0,22000.0000000000
(1)800톱대,◈톱대 (손잡이) 권총형,1856,P0000CTK,월드폼<BR>좋은폼 (1회용/빨대형),36.0,4100.0000000000
(1)800퍼티20,◈마스터 퍼티 (내부용/20KG) 大,842,P0000BGK,목공용 본드 205,41.54,15300.0000000000
(1)800퍼티5,◈마스터 퍼티 (내부용/5KG) 小,1865,P0000CTT,테스트,36.0,6500.0000000000
(1)800평붓2,◈평붓 2인치,908,P0000BIY,평붓,90.0,800.0000000000
(1)800평붓3,◈평붓 3인치,908,P0000BIY,평붓,90.0,1300.0000000000
(1)800평붓4,◈평붓 4인치,908,P0000BIY,평붓,90.0,1500.0000000000
(1)800평붓5,◈평붓 5인치,908,P0000BIY,평붓,90.0,1800.0000000000
(1)800플로3,◈플로베니아 (PVC보양재) 3T*900*1800,978,P0000BLQ,플로베니아 백색 900*1800,70.59,2200.0000000000
(1)800피스다보,◈피스다보 (판매용),967,P0000BLF,목다보,60.0,200.0000000000
(1)800피스톤630,◈피스톤 - 630,913,P0000BJD,"6단위<br>실타카핀(615,618,625,630)",60.0,7000.0000000000
(1)800피스톤CT64,◈피스톤 - CT64N,1240,P0000BVS,"C타카핀<BR>타카핀(C50,C57,C64)",49.09,20000.0000000000
(1)800피스톤F30,◈피스톤 - F30,1195,P0000BTZ,영림중문<br>클래식(ABS) 쁘띠하임<br>YA-1430,45.0,4000.0000000000
(1)800하폼건월드1,◈월드폼[좋은폼] ☞(건용폼 / 우레탄폼)☞,1819,P0000CRZ,월드폼<BR>좋은폼 건타입,58.33,4000.0000000000
(1)800하폼건월드2,◈월드폼본드 B2 (접착용 / 건용),1818,P0000CRY,월드폼<BR>폼본드(난연/B2) 건타입,59.26,6600.0000000000
(1)800하폼건월드3,◈스프레이폼 (월드폼/ 단열폼 / 건용),1821,P0000CSB,월드폼<BR>스프레이폼 건타입,46.15,7900.0000000000
(1)800하폼건월드4,◈스피드폼 (월드폼/ 건용),1857,P0000CTL,월드폼<BR>월드폼 전용 크리너,54.55,6900.0000000000
(1)800하폼건월드5,◈티탄 방화폼 B1 (월드폼),1858,P0000CTM,월드폼<BR>티탄 B1 난연폼,45.45,10500.0000000000
(1)800하폼건월드8,◈[일회용폼!!] 월드폼[좋은폼] (우레탄폼),857,P0000BGZ,폴리우레탄 폼 전용 건,55.38,4000.0000000000
(1)800하폼건월드9,◈☞폼건☜ 월드폼 251 (우레탄폼건),1859,P0000CTN,월드폼<BR>월드 251건,58.33,12800.0000000000
(1)800하폼크리너,◈폼 크리너 (폼건 세척제),859,P0000BHB,사용안함 폴리우레탄 폼 전용 건 세척제,56.25,3800.0000000000
(1)800핫멜트1심,◈핫멜트 심 (접착제/1봉 25개),1244,P0000BVW,몰탈 접착 증강제 G-3 본드 (15kg),37.04,4900.0000000000
(1)800핫멜트건,◈핫멜트 건 ☞(고급 총)☞,845,P0000BGN,스틱형 다용도 접착제(핫멜트+글루건),55.38,17000.0000000000
(1)800핫팩,◈핫팩 [대형 160g],1243,P0000BVV,단열 보드 접착제 G-2 본드 (10kg),45.0,700.0000000000
(1)800행가노출2,◈노출형행가 (노출형/흑색/양댐퍼) 2M,1160,P0000BSQ,노출 콘크리트<br>불연 시멘트 콘보드<br>590*800,21.18,140000.0000000000
(1)800행가레일2,◈행가레일(사륜용) 2M (32*32),1400,P0000CBW,"행거레일<br>댐퍼형(30kg,50kg,80kg)",31.76,19500.0000000000
(1)800행가양댐30,◈반자동행가 로라셋트(양댐퍼) N30 [도어폭700이상],1353,P0000CAB,영림<br>더도어 TA-100,36.0,32000.0000000000
(1)800행가양댐50,◈반자동행가 로라셋트(양댐퍼) N50 [도어폭900이상],1846,P0000CTA,도무스 도어핸들 905SS,36.0,44000.0000000000
(1)800행가양댐80,◈반자동행가 로라셋트(양댐퍼) N80 [도어폭900이상],1846,P0000CTA,도무스 도어핸들 905SS,36.0,48000.0000000000
(1)800행가하부촉,◈행가레일(사륜) 아연가이드(하부촉),1400,P0000CBW,"행거레일<br>댐퍼형(30kg,50kg,80kg)",30.0,2300.0000000000
(1)800헤라대,◈실리콘마감용 헤라 (대),964,P0000BLC,실리콘 마감용 헤라,94.12,1800.0000000000
(1)800헤라소,◈실리콘마감용 헤라 (소),964,P0000BLC,실리콘 마감용 헤라,94.12,1800.0000000000
(1)800헤라중,◈실리콘마감용 헤라 (중),964,P0000BLC,실리콘 마감용 헤라,94.12,1800.0000000000
(1)800호스10,◈파워호스 ∮8.0 [10 미터],1414,P0000CCK,마호가니 벤치목 4R<br>45x90x1500/1800,41.54,12300.0000000000
(1)800호스20,◈파워호스 ∮8.0 [20 미터],1414,P0000CCK,마호가니 벤치목 4R<br>45x90x1500/1800,41.54,18800.0000000000
(1)800호스30,◈파워호스 ∮8.0 [30 미터],1414,P0000CCK,마호가니 벤치목 4R<br>45x90x1500/1800,41.54,27000.0000000000
(1)800호차30,◈오메가 호차(30mm),1781,P0000CQN,오크 집성판<br>사이드핑거 30T x 915 x 2300mm,51.43,1900.0000000000
(1)A100뉴송11317,◈뉴송 39*51*3600(1.3*1.7) 폼다루끼 [단],836,P0000BGE,뉴송 각재,60.0,18500.0000000000
(1)A100뉴송21727,◈뉴송 51*81*3600(1.7*2.7) 정재투바이,836,P0000BGE,뉴송 각재,60.0,6500.0000000000
(1)A100뉴송32727,◈뉴송 81*81*3600(2.7*2.7) 산승각,836,P0000BGE,뉴송 각재,60.0,10200.0000000000
