ecount_prod_cd,ecount_prod_des,cafe24_product_no,cafe24_product_code,cafe24_product_name,similarity_score,ecount_out_price2
(1)700영더1168332060,◈영림116 더도어 ABS TA-04 833*2060,1342,P0000BZQ,영림<br>더도어 TA-08,57.27,87700.0000000000
(1)700영더1688332060,◈영림168PS120 더도어 ABS TA-04 833*2060,1342,P0000BZQ,영림<br>더도어 TA-08,57.27,87700.0000000000
(1)700영더1698332060,◈영림169PS130 더도어 ABS TA-04 833*2060,1342,P0000BZQ,영림<br>더도어 TA-08,57.27,87700.0000000000
(1)700영더257331935,◈영림25 더도어 ABS TA-04 733*1935,1341,P0000BZP,영림<br>더도어 TA-07,57.27,87700.0000000000
(1)700영더258332035,◈영림25 더도어 ABS TA-04 833*2035,1342,P0000BZQ,영림<br>더도어 TA-08,57.27,87700.0000000000
(1)700영더277331935,◈영림27 더도어 ABS TA-04 733*1935,1341,P0000BZP,영림<br>더도어 TA-07,57.27,87700.0000000000
(1)700영더278332060,◈영림27 더도어 ABS TA-04 833*2060,1342,P0000BZQ,영림<br>더도어 TA-08,57.27,87700.0000000000
(1)700영더347331935,◈영림34 더도어 ABS TA-04 733*1935,1341,P0000BZP,영림<br>더도어 TA-07,57.27,87700.0000000000
(1)700영더348332035,◈영림34 더도어 ABS TA-04 833*2035,1342,P0000BZQ,영림<br>더도어 TA-08,57.27,87700.0000000000
(1)700영더407331935,◈영림40 더도어 ABS TA-04 733*1935,1341,P0000BZP,영림<br>더도어 TA-07,57.27,87700.0000000000
(1)700영더408332035,◈영림40 더도어 ABS TA-04 833*2035,1342,P0000BZQ,영림<br>더도어 TA-08,57.27,87700.0000000000
(1)700영더408332060,◈영림40 더도어 ABS TA-04 833*2060,1342,P0000BZQ,영림<br>더도어 TA-08,57.27,87700.0000000000
(1)700영더537331935,◈영림53 더도어 ABS TA-04 733*1935,1341,P0000BZP,영림<br>더도어 TA-07,57.27,87700.0000000000
(1)700영더537331960,◈영림53 더도어 ABS TA-04 733*1960,1341,P0000BZP,영림<br>더도어 TA-07,57.27,87700.0000000000
(1)700영더538332035,◈영림53 더도어 ABS TA-04 833*2035,1342,P0000BZQ,영림<br>더도어 TA-08,57.27,87700.0000000000
(1)700영더538332060,◈영림53-1 더도어 ABS TA-04 833*2060,1342,P0000BZQ,영림<br>더도어 TA-08,57.27,87700.0000000000
(1)700영렉스31208,◈영림 렉스판 8자312 (유광백색) 2400,1370,P0000CAS,렉스판<br>리빙보드,38.57,9100.0000000000
(1)700영렉스31210,◈영림 렉스판 10자312 (유광백색) 3000,1344,P0000BZS,영림<br>더도어 TA-10,40.0,11400.0000000000
(1)700영렉스31212,◈영림 렉스판 12자312 (유광백색) 3600,1346,P0000BZU,영림<br>더도어 TA-12,40.0,13600.0000000000
(1)700영림P마이너,◈영림 PVC 마이너스25 (25*12),1832,P0000CSM,영림 PVC 마이너스몰딩 25 x 12 (mm),78.79,2500.0000000000
(1)700예HP52130걸레,◈예림HP521 30걸레받이 (30*9),1825,P0000CSF,영림116(PS010) 걸레받이몰딩 30 x 9 (mm),57.89,2600.0000000000
(1)700예HP52140걸레,◈예림HP521 40걸레받이 (40*9),1828,P0000CSI,영림116(PS010) 걸레받이몰딩 40 x 9 (mm),57.89,2900.0000000000
(1)700예HP52230걸레,◈예림HP522 30걸레받이 (30*9),1837,P0000CSR,예림CL01(HS801) 걸레받이몰딩 30 x 9 (mm),56.41,2600.0000000000
(1)700예HP52240걸레,◈예림HP522 40걸레받이 (40*9),1838,P0000CSS,예림CL01(HS801) 걸레받이몰딩 40 x 9 (mm),56.41,2900.0000000000
(1)80011실리1투명,◈실리콘 투명○,964,P0000BLC,실리콘 마감용 헤라,67.5,2300.0000000000
(1)80011이지경실,◈이지경첩 실버 VN ★ [1조],912,P0000BJC,"AFH-4350 이지경첩<br>실버,골드,화이트,블랙",54.0,3300.0000000000
(1)80011일반경실,◈일반경첩 실버 VN [1조],1332,P0000BZG,"일반경첩<br>실버,골드,블랙",54.55,5000.0000000000
(1)80011타카422J,◈422J (목공용 ㄷ자 타카핀),899,P0000BIP,"J단위<BR>타카핀(416,149,422,1022)",37.89,3600.0000000000
(1)80012실리반투명,◈실리콘 반투명◑,861,P0000BHD,실리콘 건,77.14,2300.0000000000
(1)80012이지경골,◈이지경첩 골드 SB [1조],912,P0000BJC,"AFH-4350 이지경첩<br>실버,골드,화이트,블랙",54.0,5000.0000000000
(1)80012일반경골,◈일반경첩 골드 [1조],1332,P0000BZG,"일반경첩<br>실버,골드,블랙",60.0,5000.0000000000
(1)80013실리백색,◈실리콘 백색,964,P0000BLC,실리콘 마감용 헤라,67.5,2000.0000000000
(1)80013이지경블,◈이지경첩 블랙 BK [1조],912,P0000BJC,"AFH-4350 이지경첩<br>실버,골드,화이트,블랙",45.0,5000.0000000000
(1)80013일반경블,◈일반경첩 블랙 [1조],1332,P0000BZG,"일반경첩<br>실버,골드,블랙",60.0,5000.0000000000
(1)80013총422,◈제일타카 422 ☞(타카총)☞,902,P0000BIS,제일타카 1850A<br>타카총/에어타카,51.43,61800.0000000000
(1)80014영림이지실버,◈[영림] 이지경첩 실버 ★ [1조],912,P0000BJC,"AFH-4350 이지경첩<br>실버,골드,화이트,블랙",54.0,4900.0000000000
(1)80014영림일반실버,◈[영림] 일반경첩 실버 [1조],1332,P0000BZG,"일반경첩<br>실버,골드,블랙",54.55,7600.0000000000
(1)80014이지경백,◈이지경첩 백색 WT [1조],1536,P0000CHC,텐텐지 백색<br>1800x길이 85M,40.0,5000.0000000000
(1)80014피스톤422,◈피스톤 - 422,1810,P0000CRQ,멀바우 집성판<br>사이드핑거 24T x 1220 x 2440mm,45.0,5000.0000000000
(1)800CAP44흑,◈CAP44 흑색(캡90각),1665,P0000CMB,"방부목 각재<br>4” X 4” (90mm X 90mm / 포포,90각)",38.57,0.0000000000
(1)800가위,◈다목적 가위,967,P0000BLF,목다보,45.0,6800.0000000000
(1)800고체연료,◈고체연료 17L (12KG) [에탄올 100% / 연소 12시간],1563,P0000CID,태고합판<br>12T x 910 x 1820mm,32.56,19000.0000000000
(1)800골판지,◈골판지(종이/보양재) 40M*1100,1864,P0000CTS,골판지 종이 보양지 (40m/1롤),78.57,20000.0000000000
(1)800뎀핑레일실,◈실버 뎀핑슬라이딩레일(벽체커버용),861,P0000BHD,실리콘 건,36.0,44500.0000000000
(1)800레일2,◈반자동 슬라이딩레일 (2M),1210,P0000BUO,슬림도어<br>유니크 슬림 슬라이딩<br>오로라,36.0,20000.0000000000
(1)800레일3,◈반자동 슬라이딩레일 (3M !!!),1837,P0000CSR,예림CL01(HS801) 걸레받이몰딩 30 x 9 (mm),36.0,30000.0000000000
(1)800로라미4,◈미니로라 4인치,1247,P0000BVZ,라치(낙엽송)<br>21x95x3000<br>데크재,40.0,1600.0000000000
(1)800마대80,◈[50장 묶음] 마대 80KG (中) [일반],1400,P0000CBW,"행거레일<br>댐퍼형(30kg,50kg,80kg)",51.43,13500.0000000000
(1)800마대90,◈[50장 묶음] 마대 90KG (大)★[대형],1400,P0000CBW,"행거레일<br>댐퍼형(30kg,50kg,80kg)",42.86,18000.0000000000
(1)800마대PP,◈[50장 묶음] PP 마대 [고급],1454,P0000CDY,YH-005M 마디<br>고급형 모티스락<br>헤펠레,32.73,20000.0000000000
(1)800매거양321,◈매거진피스/양날(3*21) 2000PS ★코팅,1359,P0000CAH,NBR코팅 장갑,40.0,23300.0000000000
(1)800매거양625,◈매거진피스/양날(6*25) 2000PS,1173,P0000BTD,test,36.0,22500.0000000000
(1)800매거양632,◈매거진피스/양날(6*32) 1000PS,1402,P0000CBY,WPC 합성목재 블럭사이딩 27Tx173x3000,36.0,12700.0000000000
(1)800매거양638,◈매거진피스/양날(6*38) 1000PS,1402,P0000CBY,WPC 합성목재 블럭사이딩 27Tx173x3000,36.0,15500.0000000000
(1)800매거외321,◈매거진피스/외날(3*21) 2000PS ★코팅,1359,P0000CAH,NBR코팅 장갑,40.0,23300.0000000000
(1)800매거외625,◈매거진피스/외날(6*25) 2000PS,1173,P0000BTD,test,36.0,17800.0000000000
(1)800매거외625코,◈매거진피스/외날(6*25) 2000PS ★코팅,1359,P0000CAH,NBR코팅 장갑,40.0,23300.0000000000
(1)800매거외632,◈매거진피스/외날(6*32) 1000PS,1402,P0000CBY,WPC 합성목재 블럭사이딩 27Tx173x3000,36.0,10500.0000000000
(1)800매거외638,◈매거진피스/외날(6*38) 1000PS,1402,P0000CBY,WPC 합성목재 블럭사이딩 27Tx173x3000,36.0,14000.0000000000
(1)800비닐대,◈비닐 0.1*1800*40M (두꺼움),1703,P0000CNN,차음시트 단면점착<br>4T 1000 x 1000mm,49.09,25000.0000000000
(1)800비닐소,◈비닐 0.05*1800*45M (얇음),1593,P0000CJH,단열재 아이소핑크/압출법보온판 <br>100T x 900 x 1800mm,54.78,13600.0000000000
(1)800빗자루,◈ 빗자루,1604,P0000CJS,자작합판<br>9T x 1220 x 2440mm (S/BB),45.0,4500.0000000000
(1)800빠찌링기본,◈자석 빠찌링,1162,P0000BSS,불연 마그네슘<br>디자인 대리석보드<br>580*800,36.0,800.0000000000
(1)800빠찌링백색,◈자석 빠찌링 백색(더블),1425,P0000CCV,렉스판 프로파일<br>H조이너<br>PVC 백색,32.73,1300.0000000000
